no,query,category,lifestyle_category,sub_category,phase,intent,type,type_reason,language,is_new,phase_n,cluster
31,日本 eSIM QRコード 届かない,通信・eSIM,,existing_master,旅行前,トラブル解決,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C2_設定・機種
32,日本 SIMカード APN設定 難しいか,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（設定）。直接CV可能,ja,N,pre,C2_設定・機種
33,日本 eSIM 物理SIM 併用,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
34,日本 ポケットWi-Fi 紛失 補償,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
35,日本 SIMカード 速度制限,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（速度）。権威構築・AI引用狙い,ja,N,pre,C6_回線・実測
36,日本 eSIM 楽天モバイル ローミング,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,P2_比較
37,日本旅行 韓国 SIMカード 事前購入,通信・eSIM,,existing_master,旅行前,やり方,B,購入・比較・設定クエリ（購入）。直接CV可能,ja,N,pre,C1_購入・価格
38,日本旅行 台湾 eSIM おすすめ,通信・eSIM,,existing_master,旅行前,おすすめ,B,購入・比較・設定クエリ（おすすめ）。直接CV可能,ja,N,pre,P1_おすすめHub
39,日本旅行 タイ SIM2Fly,通信・eSIM,,existing_master,旅行前,比較,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
40,日本旅行 インドネシア ローミング料金,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（料金）。直接CV可能,ja,N,pre,P2_比較
41,日本 eSIM 家族でシェア,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C9_ユースケース
42,日本 ポケットWi-Fi 空港受け取り ホテル受け取り,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,pre,P2_比較
43,日本 SIMカード プリペイド 種類,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
44,日本 eSIM iPhone15 対応,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（iphone）。直接CV可能,ja,N,pre,C2_設定・機種
45,日本 SIMカード 延長 できるか,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
46,日本 ポケットWi-Fi 予約 いつまで,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
47,日本 eSIM データ通信のみ LINE 使えるか,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C4_機能・認証
48,日本 SIMカード クレジットカードなし 購入,通信・eSIM,,existing_master,旅行前,やり方,B,購入・比較・設定クエリ（購入）。直接CV可能,ja,N,pre,C1_購入・価格
49,日本 eSIM インストール 失敗,通信・eSIM,,existing_master,旅行前,トラブル解決,B,購入・比較・設定クエリ（インストール）。直接CV可能,ja,N,pre,C2_設定・機種
50,日本 ポケットWi-Fi 速度 遅いか,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（遅い）。直接CV可能,ja,N,pre,P2_比較
51,日本 SIMカード 5G 使えるか,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（5g）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
52,日本 eSIM Holafly 評判,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（評判）。直接CV可能,ja,N,pre,P2_比較
53,日本 SIMカード Sakura Mobile,通信・eSIM,,existing_master,旅行前,比較,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
54,日本 ポケットWi-Fi Ninja WiFi,通信・eSIM,,existing_master,旅行前,比較,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
55,日本 eSIM Nomad 評判,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（評判）。直接CV可能,ja,N,pre,P2_比較
56,日本 SIMカード Mobal 評判,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（評判）。直接CV可能,ja,N,pre,C1_購入・価格
57,日本 eSIM B-mobile,通信・eSIM,,existing_master,旅行前,比較,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
58,日本 ポケットWi-Fi Japan Wireless,通信・eSIM,,existing_master,旅行前,比較,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
59,日本 SIMカード IIJmio プリペイド,通信・eSIM,,existing_master,旅行前,比較,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
60,日本 eSIM UQモバイル,通信・eSIM,,existing_master,旅行前,比較,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
61,日本 ポケットWi-Fi 郵便局 受け取り,通信・eSIM,,existing_master,旅行前,やり方,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
62,日本 SIMカード コンビニ 買えるか,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
63,日本 eSIM 乗り継ぎ 空港,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,pre,P2_比較
64,日本 ポケットWi-Fi 割引 クーポン,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
65,日本 SIMカード パスポート 必要か,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
66,日本 eSIM 削除してしまった,通信・eSIM,,existing_master,旅行前,トラブル解決,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C8_帰国・LC
67,日本 ポケットWi-Fi 持ち歩き 重いか,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
68,日本 SIMカード データ追加,通信・eSIM,,existing_master,旅行前,やり方,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
69,日本 eSIM 複数端末,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
70,日本 ポケットWi-Fi 支払い方法,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
71,日本 SIMカード 深夜便 到着,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（到着）。直接CV可能,ja,N,pre,C1_購入・価格
72,日本 eSIM 通信キャリア どこがいい,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（どこがいい）。直接CV可能,ja,N,pre,C1_購入・価格
73,日本 ポケットWi-Fi 地方 つながるか,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
74,日本 SIMカード 北海道 電波,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（電波）。権威構築・AI引用狙い,ja,N,pre,C6_回線・実測
75,日本 eSIM 富士山 電波,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（電波）。権威構築・AI引用狙い,ja,N,pre,C6_回線・実測
76,日本 ポケットWi-Fi 新幹線 電波,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（電波）。権威構築・AI引用狙い,ja,N,pre,P2_比較
77,日本 SIMカード 地下鉄 電波,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（電波）。権威構築・AI引用狙い,ja,N,pre,C6_回線・実測
78,日本 eSIM 速度 遅い 時間帯,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（遅い）。直接CV可能,ja,N,pre,C3_トラブル
79,日本 ポケットWi-Fi 制限 超えたら,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
80,日本 SIMカード 有効期限,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C8_帰国・LC
81,日本 eSIM 日数 計算方法,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
82,日本 ポケットWi-Fi 破損 弁償,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
83,日本 SIMカード 返品 できるか,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
84,日本 eSIM キャンセル,通信・eSIM,,existing_master,旅行前,やり方,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
85,日本 ポケットWi-Fi 延長 料金,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（料金）。直接CV可能,ja,N,pre,P2_比較
86,日本 SIMカード 初期不良,通信・eSIM,,existing_master,旅行前,トラブル解決,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
87,日本 eSIM サポート 英語,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
88,日本 ポケットWi-Fi 同時接続 台数,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
89,日本 SIMカード サイズ ナノSIM,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
90,日本 eSIM プロファイル 削除,通信・eSIM,,existing_master,旅行前,やり方,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C2_設定・機種
91,日本 ポケットWi-Fi 充電器 付属,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
92,日本 SIMカード アクティベーション 失敗,通信・eSIM,,existing_master,旅行前,トラブル解決,B,購入・比較・設定クエリ（アクティベーション）。直接CV可能,ja,N,pre,C2_設定・機種
93,日本 eSIM 通話アプリ,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
94,日本 ポケットWi-Fi 宅配便 返却,通信・eSIM,,existing_master,旅行前,やり方,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
95,日本 SIMカード 空港 自販機,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,pre,P2_比較
96,日本 eSIM 比較 サイト,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（比較）。直接CV可能,ja,N,pre,P2_比較
97,日本 ポケットWi-Fi レンタル 比較,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（比較）。直接CV可能,ja,N,pre,P2_比較
98,日本 SIMカード 安い,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（安い）。直接CV可能,ja,N,pre,C1_購入・価格
99,日本 eSIM 割引 コード,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
100,日本 ポケットWi-Fi 当日 レンタル,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
101,空港に着いてすぐeSIMを使いたいが、事前に買っておくべきか？,通信・eSIM,,existing_master,移動中,やり方,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
102,eSIMのデータ通信のみプランの場合、電話番号はどうなる？,通信・eSIM,,existing_master,移動中,知りたい,A,情報提供クエリ（プラン）。権威構築・AI引用狙い,ja,N,transit,C4_機能・認証
103,日本旅行でeSIMと物理SIM、どちらが良い？,通信・eSIM,,existing_master,移動中,比較,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,transit,C10_一般知識
104,eSIMのアクティベーションは日本到着前に行うべきか、到着後か？,通信・eSIM,,existing_master,移動中,やり方,B,購入・比較・設定クエリ（アクティベーション）。直接CV可能,ja,N,transit,C2_設定・機種
105,空港でeSIMの設定がうまくいかない場合、どこで助けを求められる？,通信・eSIM,,existing_master,移動中,トラブル解決,B,購入・比較・設定クエリ（設定）。直接CV可能,ja,N,transit,P2_比較
106,eSIMのテザリング（ホットスポット）は空港で設定できるか？,通信・eSIM,,existing_master,移動中,やり方,B,購入・比較・設定クエリ（設定）。直接CV可能,ja,N,transit,P2_比較
107,古いスマホでeSIMが使えない場合、空港で物理SIMを買えるか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（使えない）。直接CV可能,ja,N,transit,P2_比較
108,eSIMのQRコードは空港のフリーWi-Fiを使って読み込めるか？,通信・eSIM,,existing_master,移動中,やり方,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
109,日本到着時にメインのSIMをオフにしてeSIMをオンにする手順は？,通信・eSIM,,existing_master,移動中,やり方,B,購入・比較・設定クエリ（到着）。直接CV可能,ja,N,transit,C1_購入・価格
110,eSIMの電波が空港で繋がらない時の対処法は？,通信・eSIM,,existing_master,移動中,トラブル解決,B,購入・比較・設定クエリ（繋がらない）。直接CV可能,ja,N,transit,P2_比較
111,成田空港で物理SIMカードを予約なしで買える場所はあるか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
112,羽田空港の深夜便で到着した場合、SIMカードは買えるか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
113,空港でSIMカードを買うのと、事前にオンラインで買うのはどちらが安い？,通信・eSIM,,existing_master,移動中,比較,B,購入・比較・設定クエリ（安い）。直接CV可能,ja,N,transit,P2_比較
114,空港のSIMカード販売カウンターで設定まで手伝ってもらえるか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（設定）。直接CV可能,ja,N,transit,P2_比較
115,ビックカメラなどの空港店舗でSIMカードを受け取る方法は？,通信・eSIM,,existing_master,移動中,やり方,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
116,空港で買ったSIMカードが認識しない場合、返品や交換はできるか？,通信・eSIM,,existing_master,移動中,トラブル解決,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
117,短期滞在（10日間）の場合、空港で買えるおすすめのSIMカードは？,通信・eSIM,,existing_master,移動中,おすすめ,B,購入・比較・設定クエリ（おすすめ）。直接CV可能,ja,N,transit,P2_比較
118,空港でSIMカードを買う際、パスポートの提示は必要か？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
119,データ通信専用SIMと音声通話付きSIM、空港でどちらを買うべきか？,通信・eSIM,,existing_master,移動中,比較,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
120,空港でSIMカードの入れ替えをする際、SIMピンは貸してもらえるか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
121,ポケットWi-Fiは空港で当日レンタルできるか、事前予約が必要か？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
122,成田空港でのポケットWi-Fiの受け取り・返却が簡単な業者は？,通信・eSIM,,existing_master,移動中,おすすめ,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
123,グループ旅行の場合、eSIMとポケットWi-Fiどちらがコスパが良いか？,通信・eSIM,,existing_master,移動中,比較,B,購入・比較・設定クエリ（コスパ）。直接CV可能,ja,N,transit,P2_比較
124,空港でポケットWi-Fiを受け取った後、すぐに接続設定できるか？,通信・eSIM,,existing_master,移動中,やり方,B,購入・比較・設定クエリ（設定）。直接CV可能,ja,N,transit,P2_比較
125,ポケットWi-Fiのバッテリーは空港からホテルまでの移動中持つか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
126,空港の郵便ポストでポケットWi-Fiを返却する方法は？,通信・eSIM,,existing_master,移動中,やり方,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
127,ポケットWi-Fiの受け取りカウンターが混雑している時の待ち時間は？,通信・eSIM,,existing_master,移動中,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,transit,P2_比較
128,空港で受け取ったポケットWi-Fiが繋がらない場合の連絡先は？,通信・eSIM,,existing_master,移動中,トラブル解決,B,購入・比較・設定クエリ（繋がらない）。直接CV可能,ja,N,transit,P2_比較
129,深夜便で到着した場合、ポケットWi-Fiの受け取りはどうすればいい？,通信・eSIM,,existing_master,移動中,やり方,B,購入・比較・設定クエリ（到着）。直接CV可能,ja,N,transit,P2_比較
130,ポケットWi-FiとeSIM、空港から新幹線での移動中に電波が安定しているのは？,通信・eSIM,,existing_master,移動中,比較,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
131,成田空港のフリーWi-Fiは到着ロビーですぐに繋がるか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
132,羽田空港のフリーWi-Fiを使ってeSIMの設定やLINEの連絡はできるか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（設定）。直接CV可能,ja,N,transit,P2_比較
133,空港のフリーWi-Fiは安全か？VPNは必要か？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P3_JPIP差別化
134,入国審査の列に並んでいる間、空港のフリーWi-Fiは使えるか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
135,空港のフリーWi-Fiに繋がらない・認証画面が出ない時の対処法は？,通信・eSIM,,existing_master,移動中,トラブル解決,B,購入・比較・設定クエリ（繋がらない）。直接CV可能,ja,N,transit,P2_比較
136,関西国際空港のフリーWi-Fiの速度は動画を見れるくらい速いか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
137,空港から市内への電車（成田エクスプレスやスカイライナー）内でフリーWi-Fiは使えるか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
138,空港のフリーWi-Fiを利用するための事前登録やアプリのダウンロードは必要か？,通信・eSIM,,existing_master,移動中,やり方,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
139,空港のフリーWi-FiとポケットWi-Fi、セキュリティ面での違いは？,通信・eSIM,,existing_master,移動中,比較,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
140,空港のフリーWi-Fiが途切れた場合、eSIMのダウンロードは最初からやり直しになるか？,通信・eSIM,,existing_master,移動中,トラブル解決,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
141,空港到着後、家族と連絡を取るための最速のインターネット接続方法は？,通信・eSIM,,existing_master,移動中,おすすめ,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,C9_ユースケース
142,入国手続き（Visit Japan Web）のQRコードを表示するために、空港でネットに繋ぐ最適な方法は？,通信・eSIM,,existing_master,移動中,おすすめ,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,C2_設定・機種
143,空港でネット環境を整えるのにかかる平均的な時間は？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,C1_購入・価格
144,英語が通じない場合、空港の通信カウンターでスムーズに手続きする方法は？,通信・eSIM,,existing_master,移動中,やり方,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,C1_購入・価格
145,空港の通信カウンターの支払い方法はクレジットカードのみか、現金も使えるか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,C1_購入・価格
146,日本の空港で買える通信プランは、韓国や台湾の空港と比べて高いか？,通信・eSIM,,existing_master,移動中,比較,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,C1_購入・価格
147,空港からホテルまでのナビゲーションに最低限必要なデータ容量は？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,C5_容量・プラン
148,空港で通信手段を確保し忘れた場合、市内でどうやってネットに繋ぐか？,通信・eSIM,,existing_master,移動中,トラブル解決,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,C1_購入・価格
149,空港のコンビニでプリペイドSIMやWi-Fiのレンタルはできるか？,通信・eSIM,,existing_master,移動中,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,transit,P2_比較
150,到着直後の空港で、LINEやWhatsAppを使うための設定手順は？,通信・eSIM,,existing_master,移動中,やり方,B,購入・比較・設定クエリ（設定）。直接CV可能,ja,N,transit,C2_設定・機種
151,eSIMのQRコードを印刷し忘れた場合、空港でどうやって設定すればいい？,通信・eSIM,,existing_master,移動中,トラブル解決,B,購入・比較・設定クエリ（設定）。直接CV可能,ja,N,transit,P2_比較
